source,target,interaction,evidence,confidence,source_name_unicode,source_name_ascii,target_name_unicode,target_name_ascii
Q190141,Q982540,teacher_of,infobox:students | wikidata:P802,high,Kanō Jigorō,Kano Jigoro,Kotani Sumiyuki,Kotani Sumiyuki
Q190141,Q2453372,teacher_of,infobox:students | wikidata:P802,high,Kanō Jigorō,Kano Jigoro,Kyuzo Mifune,Kyuzo Mifune
Q190141,Q2456537,teacher_of,infobox:students | wikidata:P802,high,Kanō Jigorō,Kano Jigoro,Mitsuyo Maeda,Mitsuyo Maeda
Q190141,Q3236604,teacher_of,infobox:students | wikidata:P802,high,Kanō Jigorō,Kano Jigoro,Yoshitsugu Yamashita,Yoshitsugu Yamashita
Q190141,Q3276775,teacher_of,infobox:students | wikidata:P802,high,Kanō Jigorō,Kano Jigoro,Sakujiro Yokoyama,Sakujiro Yokoyama
Q190141,Q6389379,teacher_of,wikidata:P802,high,Kanō Jigorō,Kano Jigoro,Kenji Tomiki,Kenji Tomiki
Q190141,Q1937662,teacher_of,infobox:students,medium,Kanō Jigorō,Kano Jigoro,Minoru Mochizuki,Minoru Mochizuki
Q190141,Q2637587,teacher_of,infobox:students,medium,Kanō Jigorō,Kano Jigoro,Shiro Saigo,Shiro Saigo
Q190141,Q4340844,teacher_of,infobox:students,medium,Kanō Jigorō,Kano Jigoro,Vasili Oshchepkov,Vasili Oshchepkov
Q190141,Q5618841,teacher_of,infobox:students,medium,Kanō Jigorō,Kano Jigoro,Gunji Koizumi,Gunji Koizumi
Q190141,Q17225688,teacher_of,infobox:students,medium,Kanō Jigorō,Kano Jigoro,Kenji Kanō,Kenji Kano
Q190141,Q40795,teacher_of,text_context:student_keyword,low,Kanō Jigorō,Kano Jigoro,kata,kata
Q1493305,Q190141,teacher_of,text_context:teacher_keyword,low,firefighter's carry,firefighters carry,Kanō Jigorō,Kano Jigoro
Q2408025,Q190141,teacher_of,text_context:teacher_keyword,low,catch wrestling,catch wrestling,Kanō Jigorō,Kano Jigoro
Q128059,Q190141,teacher_of,text_context:teacher_keyword,low,Kata guruma,Kata guruma,Kanō Jigorō,Kano Jigoro
Q182634,Q190141,teacher_of,text_context:teacher_keyword,low,rickshaw,rickshaw,Kanō Jigorō,Kano Jigoro
Q584466,Q699236,teacher_of,infobox:students | infobox:teacher | text_pattern:taught | wikidata:P1066 | wikidata:P802,high,Arakaki Seishō,Arakaki Seisho,Higaonna Kanryō,Higaonna Kanryo
Q954330,Q699236,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Ryū Ryū Ko,Ryu Ryu Ko,Higaonna Kanryō,Higaonna Kanryo
Q16907056,Q699236,teacher_of,wikidata:P1066,high,Xie Zongxiang,Xie Zongxiang,Higaonna Kanryō,Higaonna Kanryo
Q699236,Q7447367,teacher_of,infobox:students | infobox:teacher | wikidata:P1066 | wikidata:P802,high,Higaonna Kanryō,Higaonna Kanryo,Sekō Higa,Seko Higa
Q699236,Q453505,teacher_of,infobox:students | infobox:teacher,medium,Higaonna Kanryō,Higaonna Kanryo,Kenwa Mabuni,Kenwa Mabuni
