id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,family,generation,n_students,n_descendants,connected,honours,legendary,added_by_research,wikipedia_url
C00572,Takeo Hiyagon,,,,,,,karate-generic,karate-generic,other,8,0,0,yes,,,,
A0218,Takeo Maruta,丸田武雄,,,,,,goju-ryu,goju-ryu,naha-te,0,1,100,yes,,,yes,
J0008,Takeshi Miyagi,宮城驍,Miyagi Takeshi,1935,,,,kobayashi-shorin-ryu|shorin-ryu-shidokan,kobayashi-shorin-ryu,shuri-te,13,1,1,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,yes,
C00573,Takeshi Naito,,,,,,,karate-generic,karate-generic,other,18,0,0,yes,,,,
J0143,Takeshi Nakazato,仲里武思,,,,,"Chinen, Nanjo, Okinawa (南城市知念589)",shorinji-ryu,shorinji-ryu,shuri-te,13,0,0,yes,,,yes,
J0116,Takeshi Oishi,大石武士,,1941,,,Nagasaki Prefecture; Tokyo,jka|shotokan,jka,japanese,16,1,1,yes,,,yes,
A0224,Takeshi Shimoda,下田武,,,,,,shotokan,shotokan,japanese,14,0,0,yes,,,yes,
R0105,Takeshi Tamaki,玉城剛,,1940,,,Okinawa,matsubayashi-ryu,matsubayashi-ryu,shuri-te,16,0,0,yes,,,yes,
J0087,Takeshi Uehara,上原健志,,,,,Okinawa,motobu-udundi,motobu-udundi,shuri-te,12,0,0,yes,,,yes,
A0033,Takeshi Uema,上間建,,,,,,kobayashi-shorin-ryu|shorin-ryu-shubukan,kobayashi-shorin-ryu,shuri-te,9,0,0,yes,,,yes,
C00574,Taketo Nakamura,中村丈人,,1934,,,,karate-generic|okinawa-kenpo,okinawa-kenpo,shuri-te,13,1,1,yes,,,,
R0039,Taketo Okuda,,,,2022,,"Japan; São Paulo, Brazil",jka,jka,japanese,16,0,0,yes,,,yes,
C00575,Takeyuki Kinjo,,,,,,,karate-generic,karate-generic,other,14,0,0,yes,,,,
Q15845032,Takuya Taniyama,谷山卓也,,1965,,1990,,shotokan|karate-generic|japanese-karate-generic|te,shotokan,japanese,16,0,0,yes,,,,https://en.wikipedia.org/wiki/Takuya_Taniyama
A0192,Takuya Uemura,上村拓也,,1992,,,,,,,15,0,0,yes,,,yes,https://ja.wikipedia.org/wiki/%E4%B8%8A%E6%9D%91%E6%8B%93%E4%B9%9F
W0013,Tamagusuku Seiju,,,1868,1945,,,,,,,0,0,,,,yes,
W0014,Tamotsu Sachie,,,1923,2016,,,,,,,0,0,,,,yes,
KP001,Tang Daiji,唐大基,,1887,1937,,,huzunquan,huzunquan,chinese,0,4,772,yes,,,yes,
C00349,Tankichi Nagamine,,,,,,,karate-generic,karate-generic,other,19,0,0,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,
N0158,Tanouye Rotaishi,,,,,,,,,,0,1,90,yes,,,yes,
J0188,Taro Miyake,三宅多留次,,1881,1935,,"Okayama, Japan; London; Seattle, USA",judo,judo,other,,0,0,,,,yes,
C00350,Taro Shimabuku,島袋太郎,,,,,,karate-generic,karate-generic,other,13,3,92,yes,,,,
C00351,Taruu Kanagusuku,,,,,,,karate-generic,karate-generic,other,,0,0,,,,,
C00352,Tatsumi Kojo,湖城立美,,,,,,karate-generic|kojo-ryu,kojo-ryu,te,9,0,0,yes,,,,
C00353,Tatsunori Matsuda,,,,,,,karate-generic,karate-generic,other,13,0,0,yes,,,,
Q27363,Tatsuo Shimabuku,島袋龍夫,,1908,1975,1933,Shuri,isshin-ryu|goju-ryu|karate-generic|shorin-ryu|uechi-ryu|okinawan-kobudo|naha-te|shuri-te|tomari-te|isshin-ryu-kobudo,isshin-ryu,shuri-te,15,10,21,yes,Hanshi 10th dan — Okinawa Karate News register (2018),,,https://en.wikipedia.org/wiki/Tatsuo_Shimabuku
Q97666381,Tatsuo Suzuki,鈴木達夫,,1928,2011,1953,,japanese-karate-generic|karate-generic|te|wado-kokusai,wado-kokusai,japanese,15,6,8,yes,,,,https://en.wikipedia.org/wiki/Tatsuo_Suzuki
Q11470681,Tatsuo Yamada,山田辰雄,,1905,1967,1930,,karate-generic|te|nihon-kenpo-karate-do,nihon-kenpo-karate-do,japanese,14,1,84,yes,,,,https://en.wikipedia.org/wiki/Tatsuo_Yamada
Q30928815,Tatsusaburo Nakayama,中山辰三郎,Tatsusaburō Nakayama,1870,1933,1895,,te|shindo-yoshin-ryu,shindo-yoshin-ryu,other,0,1,33,yes,,,,https://ja.wikipedia.org/wiki/%E4%B8%AD%E5%B1%B1%E8%BE%B0%E4%B8%89%E9%83%8E
Q11474560,Tatsuya Iwasaki,岩崎達也,,1969,,1994,,te,te,te,17,0,0,yes,,,,https://ja.wikipedia.org/wiki/%E5%B2%A9%E5%B4%8E%E9%81%94%E4%B9%9F
Q4353136,Tatsuya Naka,中達也,,1964,,1989,,shotokan|karate-generic|japanese-karate-generic|te|jka,shotokan,japanese,17,0,0,yes,,,,https://en.wikipedia.org/wiki/Tatsuya_Naka
W0017,Tawada 'Meganto' Shinboku,,,1814,1848,,,,,,,0,0,,,,yes,
W0005,Tawada (of Shuri),,,,,,,,,,,0,0,,,,yes,
KN011,Tawada Shinboku,多和田真牧,,1851,1920,,,okinawan-kobudo,okinawan-kobudo,kobudo,5,2,673,yes,,,yes,
W0009,Tawada Shinjun,,,,,,,,,,,0,0,,,,yes,
C00354,Tawata Pechin,多和田親雲上,,,,,,karate-generic|okinawan-kobudo,okinawan-kobudo,kobudo,5,1,556,yes,,,,
C00582,Teamaai Uehara,,,,,,,karate-generic,karate-generic,other,8,0,0,yes,,,,
C00355,Teiichi Nakamura,,,,,,,karate-generic,karate-generic,other,0,1,47,yes,,,,
C00356,Teikichi China,,,,,,,karate-generic,karate-generic,other,14,0,0,yes,,,,
B0025,Ten Senshi,,,,,,,,,,0,1,1,yes,,,yes,
A0060,Terry Maccarrone,,,,,,,matsubayashi-ryu,matsubayashi-ryu,shuri-te,16,1,1,yes,,,yes,
