inherited,branch_reach,id,name,native,born,died,style,family,reach,direct,prominent,breadth,generations,teachers,teacher_styles,honours
yes,0,C00627,Tsuken Hantaka,,1829,1898,,other,40,1,1,15,5,0,0,
,40,Q5349190,Eiichi Miyazato,宮里栄一,1922,1999,,naha-te,40,24,14,21,3,2,9,Hanshi 10th dan — Okinawa Karate News register (2018)
yes,0,C00637,Ushi Komesu,,,,,other,39,1,1,15,4,1,1,
,39,Q1908090,Shinpo Matayoshi,又吉真豊,1921,1997,,kobudo,39,30,13,20,3,5,22,Hanshi 10th dan — Okinawa Karate News register (2018)
yes,0,Q6956791,Nabe Matsumura,松村ナビー,1860,1930,,shuri-te,39,1,1,15,4,1,5,
,38,Q3139173,Hohan Soken,祖堅方範,1889,1982,,shuri-te,38,24,5,14,3,2,5,Hanshi 10th dan — Okinawa Karate News register (2018)
,35,C00257,Kiyuna Pechin,,1845,1920,,other,35,2,1,21,5,1,5,
yes,0,C00094,Jiro Shiroma,,,,,other,33,1,1,21,4,2,7,
yes,0,C00148,Jinan Shinzato,新里仁安,1901,1945,,naha-te,33,1,1,21,4,1,9,
yes,0,C00291,Seiyei Miyahira,,1894,1958,,other,33,1,1,21,4,1,1,
yes,0,Q30928815,Tatsusaburo Nakayama,中山辰三郎,1870,1933,,te,33,1,1,23,4,0,0,
,33,Q9096235,Won Kuk Lee,이원국,1907,2003,,japanese,33,16,5,22,4,2,11,
,32,Q15987228,Yuchoku Higa,比嘉佑直,1910,1994,,shuri-te,32,17,8,20,3,6,22,Hanshi 10th dan — Okinawa Karate News register (2018)
,32,Q386415,Hironori Otsuka,大塚博紀,1892,1982,,japanese,32,21,4,22,3,4,22,
,31,Q3194253,Katsuya Miyahira,宮平勝哉,1918,2010,,shuri-te,31,23,13,9,2,3,15,Hanshi 10th dan — Okinawa Karate News register (2018)
yes,0,C00244,Norisato Nakaima,仲井間憲里,1819,1879,,other,30,1,1,19,5,2,4,
,30,Q16016038,Meitoku Yagi,八木明徳,1912,2003,,naha-te,30,16,7,14,3,1,9,Hanshi 10th dan — Okinawa Karate News register (2018)
yes,0,R0259,Chibana Chōshō,知念? — surname 知花; given name 朝章-type reading Chōshō,1847,1927,,other,30,1,1,29,5,0,0,
yes,0,C00075,Kenchu Nakaima,仲井間憲忠,1856,1953,,other,29,1,1,19,4,1,1,
yes,0,C00112,Hiroshi Ishihara,,,,,other,29,1,1,19,4,0,0,
yes,0,C00454,Seibu Tomigawa,,,,,other,29,1,1,19,4,0,0,
,29,Q3772405,Kanken Toyama,遠山寛賢,1888,1966,,shuri-te,29,11,7,25,4,7,18,
,28,C00232,Kenko Nakaima,仲井間憲孝,1911,1989,,naha-te,28,7,4,18,3,6,12,Hanshi 10th dan — Okinawa Karate News register (2018)
,25,C00527,Shosei Kina,喜納昌盛,1882,1981,,kobudo,25,5,4,20,4,1,3,
,24,A0078,Chojiro Tani,谷長治郎,1921,1998,,japanese,24,11,8,10,2,2,14,
,23,Q706726,Gozo Shioda,塩田剛三,1915,1994,,kyokushin,23,11,2,14,3,1,8,
yes,0,A0234,Tsunetoshi Iikubo,飯久保恒年,1835,1889,,other,21,1,1,14,5,0,0,
,21,Q1360025,Taiji Kase,加瀬泰治,1929,2004,,japanese,21,7,2,10,2,4,13,
yes,0,Q22124384,Hachinosuke Fukuda,福田八之助,1828,1879,,te,21,1,1,14,5,0,0,
,21,Q27363,Tatsuo Shimabuku,島袋龍夫,1908,1975,,shuri-te,21,10,3,15,2,4,24,Hanshi 10th dan — Okinawa Karate News register (2018)
yes,0,C00202,Kanyu Higaonna,東恩納寛裕,1849,1922,,other,20,1,1,12,4,0,0,
,20,Q190141,Jigoro Kano,嘉納治五郎,1860,1938,,naha-te,20,11,0,14,4,2,2,
,20,R0141,Eiji Yasuda,安田英治,1936,2013,,kyokushin,20,4,2,13,5,1,9,
,20,R0142,Masashi Ishibashi,石橋雅史,1933,2018,,naha-te,20,4,2,13,5,1,9,
,19,A0012,Juhatsu Kyoda,許田重発,1887,1968,,naha-te,19,6,2,12,3,6,13,
,19,C00285,Kosei Kokuba,國場幸盛,1900,1959,,other,19,3,3,13,3,2,15,
,19,C00514,Shinsuke Kaneshima,,1902,1990,,shuri-te,19,4,1,12,3,3,17,
,19,Q135222893,Tsuyoshi Chitose,千歳剛直,1898,1984,,japanese,19,7,3,17,4,5,18,Hanshi 10th dan — Okinawa Karate News register (2018)
,19,Q15987180,Chozo Nakama,名嘉真朝増,1899,1982,,shuri-te,19,6,3,7,4,5,22,
,18,Q1494112,Kenichi Sawai,澤井健一,1903,1988,,kyokushin,18,2,2,11,4,0,0,
,17,A0011,An'ichi Miyagi,宮城安一,1931,2009,,naha-te,17,3,2,12,2,1,9,Hanshi 10th dan — Okinawa Karate News register (2018)
,17,C00586,Teruo Hayashi,林輝男,1924,2004,,japanese,17,4,2,12,3,6,22,
yes,0,Q4992628,Yoshimi Osawa,大沢慶己,1926,2022,,te,17,1,1,11,5,0,0,
yes,0,Q4992635,Toshiro Daigo,醍醐敏郎,1926,2021,,te,17,1,1,11,5,0,0,
yes,0,C00250,Kisuke Higa,,,,,other,16,1,1,8,3,1,2,
yes,0,C00275,Seiichiro Higa,,,,,kobudo,16,1,1,8,3,1,2,
yes,0,J0110,Raisuke Higa,比嘉来助,,,,kobudo,16,1,1,8,3,1,2,
yes,0,J0111,Yohei Akamine,赤嶺要平,,,,kobudo,16,1,1,8,3,1,2,
yes,0,J0112,Jinsaburo Higa,比嘉仁三郎,,,,kobudo,16,1,1,8,3,1,2,
,16,Q3984847,Terutomo Yamazaki,山崎照朝,1947,2025,,kyokushin,16,8,3,12,2,2,12,
,16,Q4351940,Yasuhiro Konishi,小西康裕,1893,1983,,japanese,16,7,3,19,4,7,41,
,16,Q560761,Jon Bluming,,1933,2018,,kyokushin,16,5,1,10,4,3,10,
,15,C00035,Eisuke Akamine,赤嶺栄亮,1925,1999,,kobudo,15,11,5,8,2,6,8,Hanshi 10th dan — Okinawa Karate News register (2018)
yes,0,Q6139856,James Mitose,,1916,1981,,kenpo,15,1,1,21,4,0,0,
,14,A0021,Seiki Toma,,1922,2007,,shuri-te,14,6,3,12,2,4,10,Hanshi 10th dan — Okinawa Karate News register (2018)
,14,Q2599967,Morio Higaonna,東恩納盛男,1938,,,naha-te,14,14,0,7,1,2,7,Hanshi 10th dan — Okinawa Karate News register (2018)
,14,Q8014128,William Kwai Sun Chow,,1914,1987,,kenpo,14,2,1,21,3,1,6,
yes,0,A0018,Tachimura no Peichin,,1814,1899,,shuri-te,13,1,1,9,5,1,6,
,13,A0129,Kantoku Izumikawa,,,,,kobudo,13,2,2,12,3,1,2,
,13,Q1246030,Shigeru Egami,江上茂,1912,1981,,japanese,13,6,3,11,3,3,11,
,13,Q3954660,Seikichi Toguchi,渡口政吉,1917,1998,,naha-te,13,8,5,4,2,3,15,Hanshi 10th dan — Okinawa Karate News register (2018)
,13,Q706955,Tadashi Nakamura,中村忠,1942,2019,,te,13,2,2,11,4,4,12,
,13,W0025,Chotoku Maeshiro,,1909,1979,,other,13,2,2,14,5,1,1,
yes,0,A0229,Yang Kuk-jin,양국진,,,,chinese,12,1,1,15,4,0,0,
,12,C00550,Soko Kishimoto,岸本祖孝,1862,1945,,shuri-te,12,2,2,9,4,1,3,
,12,Q471629,Hirokazu Kanazawa,金澤弘和,1931,2019,,japanese,12,11,2,13,2,3,14,
,12,Q716133,Keinosuke Enoeda,榎枝慶之輔,1935,2003,,japanese,12,12,0,9,1,3,13,
yes,0,W0021,Ganeku Shinko,,,,,shuri-te,12,1,1,5,2,1,4,
,11,A0001,Hwang Kee,황기 (黃琦),1914,2002,,korean,11,6,0,15,3,2,9,
