node_id,name,name_native,name_romaji,birth_year,death_year,trained_from_est,locality,styles,primary_style,connected,generation,legendary,added_by_research,wikipedia_url
A0148,Genshin Hironishi,廣西元信,Hironishi Genshin (also Motonobu),1913,1999,,,shotokai|shotokan,shotokai,yes,12,,yes,
A0149,Tadao Okuyama,,,,,,,shotokan|shotokai,shotokan,yes,0,,yes,
A0150,Son Duk-sung (Duk Sung Son),손덕성 (孫德成),,1922,2011,,,taekwondo|tang-soo-do|korean-martial-arts|chung-do-kwan,taekwondo,yes,14,,yes,https://en.wikipedia.org/wiki/Son_Duk-sung
A0151,Byung Jick Ro,노병직,Ro Byung-jick,1919,2015,,,taekwondo|shotokan|korean-martial-arts|song-moo-kwan,taekwondo,yes,11,,yes,https://en.wikipedia.org/wiki/Song_Moo_Kwan
A0152,Yun Kwae-byung,윤쾌병 (尹快炳),,1922,2000,,,taekwondo|shudokan|shito-ryu|korean-martial-arts|ji-do-kwan|renbukai,taekwondo,yes,12,,yes,https://en.wikipedia.org/wiki/Yun_Kwae-byung
A0153,Hwang Hyun-chul (H.C. Hwang),황현철,Hwang Hyun-chul,1947,,,,tang-soo-do|korean-martial-arts|moo-duk-kwan,tang-soo-do,yes,14,,yes,https://en.wikipedia.org/wiki/Hwang_Hyun-chul
A0154,Yoon Byung-in,윤병인 (尹炳仁),,1920,1983,,,taekwondo|shudokan|chuan-fa|korean-martial-arts|chang-moo-kwan,taekwondo,yes,11,,yes,https://en.wikipedia.org/wiki/Yoon_Byung-in
A0155,Chun Sang-sup,전상섭,,1921,,,,taekwondo|shotokan|korean-martial-arts|ji-do-kwan,taekwondo,yes,11,,yes,https://en.wikipedia.org/wiki/Yun_Mu_Kwan
A0156,Uhm Woon-kyu,엄운규,,1929,2017,,,taekwondo|korean-martial-arts|chung-do-kwan|kukki-taekwondo,taekwondo,yes,14,,yes,https://en.wikipedia.org/wiki/Chung_Do_Kwan
A0157,Kim Ki-whang,김기황 (金基璜),,1920,1993,,,taekwondo|shudokan|tang-soo-do|korean-martial-arts,taekwondo,yes,11,,yes,https://en.wikipedia.org/wiki/Ki_Whang_Kim
A0158,Steve Armstrong,,,1931,2006,,,isshin-ryu|isshin-ryu-aoka,isshin-ryu,yes,13,,yes,
A0159,Takaji Shimizu,清水隆次,,1896,1978,,,shinto-muso-ryu|nihon-kobudo,shinto-muso-ryu,yes,0,,yes,https://en.wikipedia.org/wiki/Takaji_Shimizu
A0160,Michael Gneck,,,,,,,shorin-ryu,shorin-ryu,yes,0,,yes,
A0161,Herbert Peters,,,1931,2022,,,shorin-ryu,shorin-ryu,yes,0,,yes,
A0162,Shiohira Peichin (Shionja),潮平親雲上,,1710,,,,,,yes,1,,yes,
A0165,Choei Motobu,本部朝英,,,,,,motobu-udundi,motobu-udundi,yes,6,,yes,
A0166,Chotoku Inohama,伊野波朝徳,,,,,,motobu-udundi,motobu-udundi,yes,7,,yes,
A0167,Motokuni Sugiura,杉浦初久二,,1924,2015,,,shotokan,shotokan,yes,12,,yes,
A0168,Eizo Onishi,,,,,,,koei-kan|shudokan|toon-ryu,koei-kan,yes,11,,yes,
A0169,Yasuhiro Chitose,,,,,,,chito-ryu,chito-ryu,yes,12,,yes,
A0170,Naoyuki Chitose,,,,,,,chito-ryu,chito-ryu,yes,13,,yes,
A0171,Ken Nishimura,西村拳,,1995,,,,wado-ryu,wado-ryu,yes,15,,yes,https://ja.wikipedia.org/wiki/%E8%A5%BF%E6%9D%91%E6%8B%B3
A0172,Lee Kyo-yoon,이교윤,,1930,2017,,,taekwondo|korean-martial-arts|han-moo-kwan,taekwondo,yes,12,,yes,https://ko.wikipedia.org/wiki/%ED%95%9C%EB%AC%B4%EA%B4%80
A0173,Lee Yong-woo,이용우,,,2006,,,taekwondo|korean-martial-arts|jung-do-kwan,taekwondo,yes,13,,yes,https://en.wikipedia.org/wiki/Kwan_(martial_arts)
A0174,Park Chul-hee,박철희,,1933,2016,,,taekwondo|korean-martial-arts|kang-duk-won,taekwondo,yes,12,,yes,https://en.wikipedia.org/wiki/Kang_Duk_Won
A0175,Hong Jong-pyo,홍정표,,,,,,taekwondo|korean-martial-arts|kang-duk-won,taekwondo,yes,12,,yes,https://en.wikipedia.org/wiki/Kang_Duk_Won
A0176,Lee Chong-woo,이종우,,1928,2015,,,taekwondo|korean-martial-arts|ji-do-kwan|kukki-taekwondo,taekwondo,yes,13,,yes,
A0177,Lee Nam-suk,이남석,,1925,2000,,,taekwondo|korean-martial-arts|chang-moo-kwan,taekwondo,yes,12,,yes,https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%82%A8%EC%84%9D
